,ADAM10-FITC,ADAM10-PE,CD56-FITC,CD56-PE,CD2-FITC,CD2-PE,CD68-FITC,CD68-PE
PSO_03_201807191548_3,72.09996134885142,95.99081728271129,,,,,,
PSO_03_201807191548_4,106.55701363643954,81.43715185726873,,,,,,
PSO_04_201807311126_1,106.33806298320074,82.74089758084082,,,,,,
PSO_04_201807311126_2,105.49803208192668,76.23382643424246,,,,,,
PSO_04_201807311126_3,110.36023165150907,78.24496749276335,,,,,,
PSO_04_201807311126_4,109.37789355660306,79.02927026435029,,,,,,
PSO_05_201808071049_1,93.91049361494812,114.06901096278195,,,,,,
PSO_05_201808071049_2,60.36478728116918,115.68636508293544,,,,,,
PSO_06_201810111356_1,100.9913950854598,88.1492518768153,,,,,,
PSO_06_201810111356_2,105.20994547585113,88.92737635806974,,,,,,
PSO_07_201810190927_1,97.53479119048484,118.44295591411685,,,,,,
PSO_07_201810190927_2,109.721778031414,114.82197266229308,,,,,,
PSO_07_201810190927_3,109.4376424862069,97.84542045279305,,,,,,
PSO_07_201810190927_4,107.9150649604501,99.31659514321552,,,,,,
PSO_08_201810251124_1,99.33869947479621,85.10543979310094,,,,,,
PSO_08_201810251124_2,105.50100434051907,82.53608013507765,,,,,,
PSO_08_201810251124_3,104.44842821936565,92.73033604398864,,,,,,
PSO_09_201811061035_1,90.02660446467422,61.18553509003704,,,,,,
PSO_09_201811061035_2,110.61562685090873,85.66605162064708,,,,,,
PSO_09_201811061035_3,109.21620823883364,83.14193664354801,,,,,,
PSO_09_201811061035_4,105.08918273693351,102.18860483596099,,,,,,
TCL_01_201806211425_1,,,,,,,,
TCL_01_201806211425_2,,,,,,,,
TCL_01_201806211425_3,,,,,,,,
TCL_02_201807171415_1,,,,,,,,
TCL_02_201807171415_3,,,,,,,,
TCL_02_201807171415_4,,,,,,,,
TCL_03_201807271442_1,,,,,,,,
TCL_03_201807271442_2,,,,,,,,
TCL_04_201808161511_1,,,,,,,,
TCL_04_201808161511_2,,,,,,,,
TCL_04_201808161511_3,,,,,,,,
TCL_05_201808230914_1,,,,,29.418524164580226,88.90991507551954,93.12627408821106,8.784493571729557
TCL_07_201901180849_1,,,,,,,,
TCL_07_201901180849_2,,,,,,,,
TCL_07_201901180849_3,,,,,,,,
TCL_08_201902011029_1,,,,,,,,
TCL_08_201902011029_2,,,,,,,,
TCL_08_201902011029_3,,,,,,,,
TCL_09_201902211153_1,,,,,,,,
TCL_09_201902211153_2,,,,,,,,
TCL_09_201902211153_3,,,,,,,,
TCL_10_201906070936_1,,,,,,,,
TCL_10_201906070936_2,,,,,,,,
TCL_10_201906070936_3,,,,,,,,
TCL_11_201906261405_1,107.70197263282587,114.95669548886582,80.85079158730986,106.69366091696044,,,,
TCL_11_201906261405_2,66.15834128129295,107.80399005580107,35.305747774489454,106.61420358497998,,,,
TCL_12_202006021121_1,,,,,,,,
TCL_12_202006021121_2,,,,,,,,
TCL_12_202006021121_3,,,,,,,,
TCL_13_202009021533_1,,,,,,,,
TCL_13_202009021533_2,,,,,,,,
TCL_13_202009021533_3,,,,,,,,
TCL_13_202009021533_4,,,,,,,,
