,ADAM10-FITC,ADAM10-PE,CD56-FITC,CD56-PE,CD2-FITC,CD2-PE,CD68-FITC,CD68-PE
Eczema_01_201808071049_4,91.54099182677999,78.6518032455178,,,,,,
Eczema_02_201810111356_3,103.31595275817936,93.41819216742087,,,,,,
Eczema_02_201810111356_4,112.27573198989079,98.97088075506763,,,,,,
Eczema_03_201810190927_1,97.53479119048484,118.44295591411685,,,,,,
Eczema_03_201810190927_2,109.721778031414,114.82197266229308,,,,,,
Eczema_04_201812141108_1,103.40658429928463,52.17081352073165,,,,,,
Eczema_04_201812141108_2,97.83779630500914,51.2202302665505,,,,,,
Eczema_05_201903071408_1,,,,,,,,
Eczema_05_201903071408_2,,,,,,,,
Eczema_05_201903071408_3,,,,,,,,
Eczema_06_201903141336_1,,,,,,,,
Eczema_06_201903141336_2,,,,,,,,
Eczema_06_201903141336_3,,,,,,,,
Eczema_07_201903220856_1,,,,,,,,
Eczema_07_201903220856_2,,,,,,,,
Eczema_07_201903220856_3,,,,,,,,
Eczema_08_201903280854_1,,,,,,,,
Eczema_08_201903280854_2,,,,,,,,
Eczema_08_201903280854_3,,,,,,,,
Eczema_08_201903280854_4,,,,,,,,
Eczema_10_201905171057_3,109.34275833651743,95.93006622262865,,,,,,
Eczema_10_201905171057_4,73.519644065649,86.42207962824176,,,,,,
Eczema_11_201905241314_1,103.17834263678431,109.4834109466732,,,,,,
Eczema_11_201905241314_2,107.11930337566461,112.22875807524156,,,,,,
Eczema_12_201906141101_1,,,,,,,,
Eczema_12_201906141101_2,,,,,,,,
Eczema_13_202002061145_1,,,,,,,,
Eczema_13_202002061145_2,,,,,,,,
Eczema_13_202002061145_3,,,,,,,,
Eczema_13_202002061145_4,,,,,,,,
Healthy_01_201906131445_1,111.28734255918734,39.52490175143235,92.54569356465743,93.34451801968606,,,,
Healthy_01_201906131445_2,87.24749626994316,48.83919648829514,99.78026159018782,104.18354040592055,,,,
Healthy_01_201906131445_3,109.61202816868206,36.78345485280641,99.08191219559151,50.75224785650651,,,,
Healthy_01_201906131445_4,107.22025163027304,39.78672669463432,104.15082812664218,17.12263022293904,,,,
Healthy_02_201906191133_1,80.65378172267236,30.11466278223442,74.2773507216027,22.320261845570244,,,,
Healthy_02_201906191133_2,75.02348118666393,39.986804586275554,10.754046829279792,3.872195827247537,,,,
Healthy_02_201906191133_3,84.64410051852455,74.66393096423566,71.04670649977753,105.04378826439154,,,,
Healthy_03_201907171454_1,57.15397104945481,69.89338446547966,94.34732133297841,89.31083946169312,,,,
Healthy_03_201907171454_2,46.65032129074209,73.52837961812469,87.03428779242516,112.55270651352889,,,,
Healthy_03_201907171454_3,108.06083234045228,66.21931187204162,93.81269712331337,112.64690039397651,,,,
Healthy_03_201907171454_4,77.84037714091511,63.65362235421347,105.91163522352348,107.0104731352417,,,,
Healthy_04_201907171455_1,43.671848065134306,23.79698742045083,37.539443079676374,78.3465873540514,,,,
Healthy_04_201907171455_2,40.4278247506829,2.6095485035080705,37.290000746502486,67.67165161711101,,,,
Healthy_04_201907171455_3,20.92113790553011,25.34517685724417,3.176144383403678,38.583627923514925,,,,
Healthy_04_201907171455_4,41.67672341395233,24.242354734053578,38.36164141163621,64.2140308580555,,,,
Healthy_05_202002120954_1,,,,,,,,
Healthy_05_202002120954_2,,,,,,,,
Healthy_05_202002120954_3,,,,,,,,
Healthy_05_202002120954_4,,,,,,,,
Healthy_06_202002171402_1,,,,,,,,
Healthy_06_202002171402_2,,,,,,,,
Healthy_06_202002171402_3,,,,,,,,
Healthy_06_202002171402_4,,,,,,,,
Healthy_07_202011251336_1,,,,,,,,
Healthy_07_202011251336_2,,,,,,,,
PSO_01_201712150819_1,58.27991878838717,76.80460150027355,,,,,,
PSO_02_201806191554_1,91.42901694462425,79.34805482078538,,,,,,
PSO_02_201806191554_2,59.08557128558533,64.64652886165246,,,,,,
PSO_02_201806191554_3,82.67731128466203,69.74229457184644,,,,,,
PSO_02_201806191554_4,107.29091619429103,44.052837397024405,,,,,,
PSO_03_201807191548_1,106.03228181254732,95.39120462910122,,,,,,
PSO_03_201807191548_2,80.55296042259899,90.79381061035419,,,,,,
