,ADAM10-FITC,ADAM10-PE,CD14-FITC,CD14-PE,CD4-FITC,CD4-PE,CD83-AF488,CD83-FITC,CD83-PE,CD138-FITC,CD138-PE
Melanoma_01_201801261128_1,90.74859048543289,61.3978922109341,71.37625247892849,9.627942914168912,42.357222558912305,114.58576503244831,,,,,
Melanoma_01_201801261128_2,90.64645617588384,79.08918298249354,70.82865582404544,6.383266901160124,42.72855622489762,118.50724181081858,,,,,
Melanoma_01_201801261128_3,105.61112131549454,89.3401534357286,76.57788673003425,6.62030575170345,45.01037319230984,117.11040599912974,,,,,
Melanoma_02_201802161126_1,85.55761795967119,90.49345533410407,,,,,,,,,
Melanoma_02_201802161126_2,85.2201055220557,50.88711605461648,,,,,,,,,
Melanoma_02_201802161126_3,92.85993206827355,55.745822778344746,,,,,,,,,
Melanoma_02_201802161126_4,104.57248882947428,42.02322948763409,,,,,,,,,
Melanoma_03_201803281110_1,99.6936479022789,104.35916051866207,,,,,,,,,
Melanoma_03_201803281110_2,82.91245490290065,78.03834960086672,,,,,,,,,
Melanoma_03_201803281110_3,91.92181908905087,109.50485447621554,,,,,,,,,
Melanoma_04_201804301352_1,101.13168279341231,104.95070357859542,,,,,,,,,
Melanoma_04_201804301352_2,95.8743236048998,93.19895813790848,,,,,,,,,
Melanoma_04_201804301352_3,90.11445577512988,93.86740691555977,,,,,,,,,
Melanoma_05_201807051047_1,95.86431384143305,86.07124457680676,,,,,,,,,
Melanoma_05_201807051047_2,102.5710888917483,75.70221475501458,,,,,,,,,
Melanoma_05_201807051047_3,90.55762458979197,113.6598583511528,,,,,,,,,
Melanoma_05_201807051047_4,101.80096942188294,97.22448557629501,,,,,,,,,
Melanoma_06_201808230902_1,110.05178075221913,111.345799597478,,,,,,,,,
Melanoma_06_201808230902_2,116.42685208740758,110.61476002400595,,,,,,,,,
Melanoma_06_201808230902_3,113.56652172076681,35.6768353893256,,,,,,,,,
Melanoma_07_201905161343_1,91.27020296027526,95.11802106119258,,,,,,,,,
Melanoma_07_201905161343_2,108.7388756395611,111.04162070601456,,,,,,,,,
Melanoma_08_201905241311_1,53.03260423286556,105.4127166698917,,,,,,,,,
Melanoma_08_201905241311_2,110.8646777613962,97.11700861719254,,,,,,,,,
Melanoma_09_201905291344_1,106.83643442908766,108.67408560811958,,,,,,,,,
